Farmer_ID,State,Land_Size,Income_Level,Crop,Irrigation,Soil_Type,Farmer_Type,Loan_Status,Weather_Risk,Farm_Experience,Recommended_Scheme
91,Bihar,Large,High,Wheat,No,Black,Medium,No,High,Low,PMFBY
92,Punjab,Large,Low,Wheat,No,Loamy,Medium,No,Low,Medium,PMFBY
93,MH,Small,Low,Rice,Yes,Black,Medium,No,Medium,Low,PM-Kisan
94,MH,Medium,Medium,Maize,Yes,Clay,Large,Yes,High,Low,KCC
95,MP,Small,High,Maize,No,Sandy,Small,Yes,High,Medium,Crop Insurance
96,MP,Small,High,Rice,Yes,Loamy,Small,Yes,Medium,Medium,KCC
97,UP,Small,High,Rice,No,Black,Marginal,No,High,Medium,PMFBY
98,MP,Small,Low,Soybean,Yes,Sandy,Small,No,Medium,Medium,PM-Kisan
99,Punjab,Small,High,Cotton,No,Black,Medium,Yes,High,Low,PMFBY
100,Bihar,Small,Medium,Rice,Yes,Black,Medium,Yes,Medium,High,KCC
101,Punjab,Large,High,Wheat,No,Loamy,Medium,No,High,High,PMFBY
102,UP,Medium,Medium,Rice,No,Sandy,Large,Yes,Low,Low,PMFBY
103,Bihar,Medium,Medium,Maize,No,Loamy,Marginal,No,Low,Medium,PMFBY
104,Punjab,Medium,Medium,Cotton,Yes,Clay,Small,No,Low,Low,Farmer Training
105,MH,Small,High,Rice,Yes,Clay,Medium,No,High,Low,Farm Mechanization
106,MP,Large,High,Rice,No,Loamy,Large,Yes,Medium,High,PMFBY
107,Bihar,Medium,Medium,Maize,No,Black,Marginal,No,High,High,PMFBY
108,Punjab,Large,High,Cotton,No,Clay,Small,No,Medium,High,Crop Insurance
109,Bihar,Small,Medium,Wheat,No,Clay,Marginal,No,Low,Low,PMFBY
110,MH,Medium,Low,Rice,Yes,Sandy,Marginal,Yes,Medium,High,Farmer Training
111,Bihar,Large,Medium,Cotton,No,Black,Marginal,Yes,High,Low,PMFBY
112,UP,Small,High,Cotton,No,Sandy,Small,No,Low,Medium,Crop Insurance
113,MP,Small,High,Cotton,Yes,Sandy,Small,No,Medium,High,Soil Health Card
114,Punjab,Small,Low,Cotton,No,Black,Large,No,Medium,Low,PM-Kisan
115,MH,Small,Low,Maize,Yes,Loamy,Large,Yes,Medium,Low,PM-Kisan
116,UP,Small,Medium,Maize,No,Sandy,Small,Yes,Medium,Low,Crop Insurance
117,Punjab,Medium,High,Cotton,No,Loamy,Large,Yes,Medium,Low,PMFBY
118,MH,Small,Medium,Cotton,No,Black,Large,No,High,High,PMFBY
119,MH,Medium,Low,Cotton,Yes,Sandy,Large,No,Low,High,Soil Health Card
120,UP,Large,High,Rice,Yes,Sandy,Marginal,No,High,Low,Soil Health Card
121,MH,Medium,Low,Wheat,No,Loamy,Large,No,Low,Low,PMFBY
122,Bihar,Medium,Medium,Cotton,No,Loamy,Small,Yes,Low,Medium,Crop Insurance
123,Punjab,Small,High,Soybean,No,Sandy,Marginal,No,Medium,Medium,PMFBY
124,MH,Large,Low,Soybean,Yes,Clay,Large,No,Low,High,Farm Mechanization
125,Punjab,Medium,Low,Soybean,No,Black,Small,Yes,Medium,High,Subsidy Scheme
126,Bihar,Medium,Medium,Rice,No,Sandy,Medium,No,High,High,PMFBY
127,Bihar,Large,Low,Cotton,Yes,Sandy,Large,No,Medium,High,Organic Farming
128,MP,Medium,Low,Wheat,No,Clay,Small,Yes,Medium,Medium,PMFBY
129,Bihar,Small,High,Cotton,No,Loamy,Small,Yes,Medium,Medium,Crop Insurance
130,Punjab,Medium,Medium,Rice,Yes,Clay,Medium,No,Medium,Low,Irrigation Subsidy
131,MP,Small,Medium,Soybean,No,Clay,Marginal,Yes,High,High,PMFBY
132,MP,Large,Medium,Rice,No,Clay,Small,Yes,High,High,PMFBY
133,MH,Small,High,Cotton,No,Clay,Small,Yes,Medium,Low,PMFBY
134,Bihar,Medium,Medium,Rice,No,Loamy,Small,No,High,Low,Crop Insurance
135,UP,Large,Medium,Wheat,No,Loamy,Large,Yes,Low,High,Crop Insurance
136,UP,Medium,High,Wheat,No,Clay,Large,Yes,Low,Medium,PMFBY
137,UP,Medium,Medium,Rice,Yes,Sandy,Large,No,Low,Medium,Soil Health Card
138,Punjab,Medium,High,Rice,Yes,Loamy,Large,Yes,Medium,High,KCC
139,MH,Large,Medium,Maize,No,Black,Medium,Yes,Low,Medium,PMFBY
140,MP,Large,Medium,Cotton,Yes,Clay,Marginal,No,High,Medium,PMFBY
141,Bihar,Small,High,Rice,Yes,Sandy,Marginal,No,High,Medium,Soil Health Card
142,Bihar,Small,Low,Maize,No,Clay,Large,No,Low,Medium,PM-Kisan
143,Punjab,Medium,Low,Rice,No,Sandy,Medium,No,Medium,Medium,PMFBY
144,MP,Large,High,Rice,Yes,Clay,Marginal,Yes,High,High,KCC
145,MP,Small,Low,Wheat,Yes,Loamy,Small,No,Medium,Low,PM-Kisan
146,UP,Small,High,Cotton,No,Sandy,Small,Yes,High,Low,PMFBY
147,Punjab,Small,Low,Maize,Yes,Clay,Large,No,Medium,Medium,Subsidy Scheme
148,UP,Small,High,Maize,Yes,Loamy,Medium,No,Medium,Medium,Soil Health Card
149,MH,Medium,High,Soybean,No,Loamy,Large,No,High,Low,PMFBY
150,Bihar,Medium,High,Soybean,Yes,Sandy,Large,Yes,Low,High,Subsidy Scheme
151,MP,Small,Low,Soybean,Yes,Black,Large,Yes,Low,Medium,PM-Kisan
152,MP,Medium,Low,Maize,Yes,Sandy,Small,No,High,High,Soil Health Card
153,MH,Medium,High,Cotton,No,Sandy,Small,Yes,Medium,Medium,PMFBY
154,UP,Small,Low,Soybean,No,Black,Medium,No,High,Low,PM-Kisan
155,MP,Large,Medium,Wheat,No,Sandy,Marginal,No,High,Medium,PMFBY
156,UP,Medium,High,Cotton,Yes,Loamy,Marginal,No,Medium,Low,Soil Health Card
157,UP,Large,Medium,Wheat,Yes,Black,Large,Yes,High,High,KCC
158,UP,Large,Low,Maize,Yes,Clay,Medium,Yes,High,Low,KCC
159,Bihar,Medium,Low,Wheat,No,Black,Large,No,High,Low,PMFBY
160,Bihar,Large,Medium,Rice,No,Sandy,Medium,No,High,High,PMFBY
161,Punjab,Small,Medium,Rice,Yes,Clay,Marginal,Yes,High,Medium,KCC
162,Bihar,Large,Medium,Maize,No,Loamy,Small,Yes,Low,Medium,Crop Insurance
163,Bihar,Large,High,Wheat,Yes,Black,Large,Yes,High,High,Irrigation Subsidy
164,MP,Small,Low,Soybean,No,Loamy,Medium,No,Low,High,PM-Kisan
165,Bihar,Small,Low,Wheat,Yes,Clay,Small,Yes,Medium,High,PM-Kisan
166,Bihar,Medium,Low,Maize,No,Loamy,Small,Yes,High,Medium,PMFBY
167,Punjab,Large,Medium,Wheat,No,Black,Marginal,Yes,High,Low,PMFBY
168,UP,Small,Medium,Maize,Yes,Sandy,Medium,No,Medium,High,Irrigation Subsidy
169,UP,Large,High,Cotton,No,Clay,Small,No,Low,High,Crop Insurance
170,UP,Small,Low,Wheat,No,Clay,Large,Yes,Medium,Medium,PM-Kisan
171,MH,Large,Medium,Cotton,No,Black,Marginal,Yes,Low,Low,PMFBY
172,MP,Large,Low,Maize,No,Clay,Medium,Yes,High,Low,Organic Farming
173,Punjab,Large,High,Cotton,Yes,Black,Marginal,Yes,Low,Medium,KCC
174,MP,Small,High,Wheat,No,Black,Small,Yes,Low,Medium,Crop Insurance
175,Bihar,Medium,Medium,Soybean,Yes,Loamy,Medium,Yes,Medium,Low,Subsidy Scheme
176,UP,Small,Low,Maize,Yes,Loamy,Medium,Yes,High,Medium,PM-Kisan
177,UP,Medium,High,Cotton,No,Loamy,Medium,No,High,High,Crop Insurance
178,Bihar,Medium,Medium,Maize,Yes,Loamy,Medium,No,Low,Low,Soil Health Card
179,Punjab,Large,High,Wheat,Yes,Black,Medium,Yes,Low,Low,KCC
180,Bihar,Large,Low,Cotton,Yes,Loamy,Marginal,No,Low,Low,Soil Health Card
181,MP,Small,High,Rice,No,Loamy,Small,Yes,High,Low,PMFBY
182,MH,Small,High,Soybean,Yes,Sandy,Large,No,High,High,Soil Health Card
183,Punjab,Large,Low,Rice,No,Clay,Marginal,No,Medium,Low,PMFBY
184,MP,Small,Low,Maize,No,Clay,Large,No,Medium,High,PM-Kisan
185,UP,Medium,Low,Cotton,No,Clay,Marginal,Yes,Medium,Medium,PMFBY
186,Bihar,Medium,Medium,Cotton,Yes,Sandy,Large,Yes,Medium,High,KCC
187,MH,Medium,High,Rice,No,Black,Small,No,High,Medium,PM-Kisan
188,Punjab,Small,Medium,Wheat,Yes,Clay,Medium,Yes,Low,Medium,KCC
189,MH,Large,High,Cotton,No,Black,Medium,Yes,Medium,Low,PMFBY
190,MH,Large,High,Cotton,No,Clay,Marginal,Yes,Medium,High,PMFBY
191,Punjab,Large,High,Maize,Yes,Black,Marginal,No,Medium,Low,Farmer Training
192,UP,Small,High,Rice,No,Clay,Marginal,No,Medium,Medium,PMFBY
193,MH,Large,Low,Cotton,Yes,Sandy,Medium,Yes,Low,Medium,KCC
194,MH,Large,High,Soybean,Yes,Loamy,Marginal,Yes,Low,High,KCC
195,MH,Small,High,Cotton,Yes,Loamy,Medium,Yes,Medium,Low,KCC
196,Punjab,Medium,Low,Rice,Yes,Clay,Marginal,No,Low,Low,Farmer Training
197,Bihar,Medium,Low,Wheat,No,Clay,Medium,No,High,Low,PMFBY
198,Bihar,Small,Medium,Rice,No,Loamy,Medium,Yes,Low,Low,KCC
199,MP,Large,Medium,Maize,No,Clay,Small,No,Medium,Medium,PMFBY
200,Bihar,Large,Low,Wheat,Yes,Sandy,Large,Yes,High,Medium,KCC
201,Bihar,Large,High,Maize,Yes,Black,Large,Yes,High,High,KCC
202,Bihar,Small,High,Cotton,Yes,Black,Medium,Yes,High,Low,KCC
203,UP,Small,Medium,Cotton,Yes,Black,Small,Yes,Medium,Low,KCC
204,MH,Small,High,Cotton,No,Loamy,Small,No,Medium,Medium,PMFBY
205,Punjab,Small,Low,Soybean,No,Sandy,Large,Yes,Low,High,Subsidy Scheme
206,UP,Medium,Medium,Maize,No,Clay,Small,No,Medium,Low,PMFBY
207,Punjab,Medium,High,Cotton,Yes,Clay,Large,No,High,Medium,Farm Mechanization
208,MH,Large,High,Maize,No,Clay,Small,No,High,Medium,PMFBY
209,UP,Large,Medium,Maize,No,Clay,Marginal,No,High,High,Crop Insurance
210,UP,Medium,Low,Soybean,Yes,Sandy,Large,Yes,Low,High,KCC
211,MH,Small,High,Rice,Yes,Black,Small,Yes,High,Low,KCC
212,MP,Large,High,Maize,Yes,Black,Large,No,Low,Medium,Farm Mechanization
213,MP,Large,Low,Maize,No,Clay,Marginal,Yes,Low,Medium,PMFBY
214,Bihar,Large,Low,Rice,Yes,Loamy,Small,Yes,Low,High,Subsidy Scheme
215,MP,Medium,Low,Wheat,No,Black,Marginal,Yes,High,High,Crop Insurance
216,UP,Medium,Medium,Soybean,No,Clay,Marginal,No,High,Low,PMFBY
217,Punjab,Medium,Low,Rice,Yes,Clay,Medium,No,Medium,Low,Farm Mechanization
218,UP,Medium,Medium,Rice,No,Black,Large,Yes,Low,Low,PMFBY
219,Bihar,Medium,Low,Wheat,Yes,Sandy,Small,No,High,Medium,Soil Health Card
220,MH,Large,Medium,Maize,Yes,Loamy,Small,Yes,High,Medium,KCC
221,MP,Small,Medium,Cotton,Yes,Sandy,Large,Yes,High,Low,KCC
222,Punjab,Medium,High,Maize,Yes,Black,Large,No,High,High,Farm Mechanization
223,MH,Small,High,Wheat,No,Clay,Large,No,Low,High,Irrigation Subsidy
224,MP,Large,High,Rice,No,Loamy,Small,No,Medium,High,PMFBY
225,Bihar,Small,Low,Wheat,Yes,Sandy,Medium,No,Medium,Medium,PM-Kisan
226,Bihar,Large,Low,Wheat,No,Sandy,Medium,No,High,Medium,PMFBY
227,Punjab,Large,Medium,Maize,No,Clay,Marginal,No,Medium,Medium,PMFBY
228,MH,Large,Low,Cotton,Yes,Loamy,Marginal,Yes,Low,High,KCC
229,Punjab,Small,Medium,Wheat,No,Sandy,Marginal,Yes,Medium,Medium,PMFBY
230,MP,Large,Low,Rice,Yes,Black,Marginal,Yes,High,High,KCC
231,UP,Small,High,Wheat,No,Sandy,Medium,No,High,Low,Crop Insurance
232,MH,Small,Low,Rice,Yes,Clay,Marginal,Yes,High,Medium,Organic Farming
233,UP,Medium,High,Soybean,No,Loamy,Medium,No,Medium,High,PMFBY
234,MH,Medium,Medium,Rice,Yes,Clay,Large,No,Medium,Medium,Farm Mechanization
235,MP,Small,Medium,Maize,Yes,Clay,Large,Yes,High,High,KCC
236,Punjab,Small,Low,Rice,Yes,Sandy,Marginal,No,Medium,Medium,PM-Kisan
237,UP,Large,Medium,Wheat,No,Black,Medium,Yes,High,Low,PMFBY
238,Punjab,Large,Low,Rice,Yes,Loamy,Marginal,Yes,High,High,KCC
239,MH,Small,Medium,Maize,Yes,Black,Marginal,Yes,High,High,KCC
240,MH,Small,Medium,Maize,Yes,Clay,Marginal,Yes,Medium,Low,Subsidy Scheme
241,Punjab,Large,Low,Wheat,Yes,Clay,Small,No,Medium,High,Subsidy Scheme
242,UP,Small,High,Maize,No,Clay,Marginal,Yes,High,Medium,PMFBY
243,MH,Small,High,Rice,Yes,Clay,Marginal,Yes,Low,Low,KCC
244,Bihar,Large,Medium,Cotton,No,Sandy,Large,Yes,Low,High,PMFBY
245,Bihar,Medium,Low,Wheat,No,Clay,Marginal,Yes,Low,Medium,PMFBY
246,Punjab,Small,Medium,Wheat,Yes,Clay,Marginal,Yes,Medium,Low,Soil Health Card
247,Punjab,Large,High,Wheat,No,Loamy,Small,Yes,Low,Low,PMFBY
248,Punjab,Large,High,Wheat,No,Sandy,Large,Yes,High,Low,PMFBY
249,MP,Large,Low,Wheat,No,Sandy,Large,No,High,Medium,PMFBY
250,Punjab,Medium,Medium,Cotton,Yes,Sandy,Medium,Yes,High,Medium,KCC
251,MH,Large,Medium,Soybean,No,Clay,Medium,No,Medium,High,Farm Mechanization
252,MP,Small,High,Rice,Yes,Clay,Marginal,Yes,Low,Low,KCC
253,MH,Medium,Low,Rice,No,Clay,Medium,No,High,High,PMFBY
254,Bihar,Small,Low,Wheat,No,Clay,Large,No,Medium,High,PM-Kisan
255,MH,Medium,Low,Rice,No,Black,Large,No,High,Low,PMFBY
256,Punjab,Medium,Low,Wheat,Yes,Clay,Marginal,Yes,Medium,Medium,Soil Health Card
257,Bihar,Large,High,Rice,Yes,Clay,Small,Yes,Low,Low,KCC
258,Bihar,Medium,High,Rice,Yes,Black,Small,No,High,Medium,Crop Insurance
259,MP,Large,Low,Maize,No,Loamy,Small,Yes,Low,Low,PMFBY
260,Punjab,Medium,High,Cotton,No,Black,Small,Yes,High,High,Subsidy Scheme
261,UP,Small,High,Cotton,No,Sandy,Small,No,High,Low,PMFBY
262,UP,Large,High,Maize,Yes,Black,Large,No,High,Low,Farm Mechanization
263,Punjab,Large,Low,Cotton,No,Sandy,Large,No,Low,High,PMFBY
264,MH,Small,High,Maize,No,Clay,Large,Yes,Medium,High,PMFBY
265,Bihar,Large,Medium,Wheat,No,Sandy,Medium,Yes,Low,Medium,Crop Insurance
266,MH,Large,Medium,Wheat,Yes,Black,Medium,No,Low,High,Irrigation Subsidy
267,UP,Small,High,Maize,No,Sandy,Marginal,No,High,High,Crop Insurance
268,Bihar,Medium,Low,Maize,No,Clay,Large,Yes,Medium,Medium,Crop Insurance
269,UP,Small,Medium,Maize,Yes,Clay,Small,Yes,High,Low,KCC
270,UP,Medium,High,Rice,Yes,Loamy,Medium,No,High,Low,Soil Health Card
271,MP,Medium,High,Soybean,No,Sandy,Marginal,No,Low,High,PMFBY
272,UP,Small,Medium,Cotton,Yes,Sandy,Medium,Yes,Medium,High,KCC
273,Punjab,Small,Low,Cotton,No,Clay,Small,Yes,Low,Low,Irrigation Subsidy
274,MH,Small,High,Wheat,No,Sandy,Small,No,High,Low,PMFBY
275,MP,Large,Low,Cotton,No,Sandy,Small,No,Low,High,PMFBY
276,Bihar,Large,Medium,Cotton,No,Black,Large,Yes,High,Low,PMFBY
277,MH,Small,Medium,Rice,Yes,Clay,Medium,Yes,Low,Low,KCC
278,Bihar,Large,High,Soybean,No,Loamy,Large,Yes,High,Low,Farmer Training
279,MP,Small,Medium,Maize,Yes,Sandy,Large,No,High,High,Soil Health Card
280,UP,Large,Low,Maize,Yes,Sandy,Small,Yes,Medium,Low,KCC
281,MH,Medium,Low,Wheat,No,Black,Large,No,High,Medium,PMFBY
282,Punjab,Medium,High,Cotton,Yes,Black,Small,No,Low,High,Organic Farming
283,Bihar,Medium,Medium,Rice,No,Black,Marginal,Yes,Low,High,PMFBY
284,MP,Large,High,Cotton,No,Loamy,Medium,Yes,High,Medium,PMFBY
285,MH,Large,Low,Maize,No,Loamy,Small,No,Medium,High,PMFBY
286,Bihar,Large,Medium,Soybean,No,Clay,Medium,Yes,Low,Low,Crop Insurance
287,Punjab,Small,Low,Soybean,No,Loamy,Medium,Yes,High,Medium,Subsidy Scheme
288,MP,Large,Low,Soybean,No,Black,Marginal,No,High,Medium,PMFBY
289,Punjab,Medium,Low,Wheat,Yes,Loamy,Large,Yes,High,High,KCC
290,MH,Small,Medium,Cotton,No,Loamy,Medium,Yes,Low,High,Crop Insurance
291,Punjab,Large,Low,Cotton,No,Sandy,Medium,Yes,Low,High,Crop Insurance
292,UP,Large,High,Maize,No,Black,Marginal,No,Medium,Medium,Crop Insurance
293,UP,Small,Medium,Cotton,No,Loamy,Large,No,High,High,PMFBY
294,Bihar,Medium,Low,Wheat,No,Loamy,Marginal,Yes,High,High,PMFBY
295,MP,Small,Low,Rice,Yes,Clay,Large,No,High,Medium,PM-Kisan
296,MH,Small,Low,Cotton,No,Black,Small,Yes,Low,High,Organic Farming
297,Punjab,Medium,High,Wheat,No,Clay,Medium,Yes,High,Medium,Crop Insurance
298,MH,Large,Low,Cotton,No,Black,Marginal,No,Low,Low,PMFBY
299,UP,Small,Low,Maize,No,Black,Medium,Yes,High,Low,PM-Kisan
300,MH,Large,Medium,Soybean,No,Black,Marginal,Yes,High,Medium,Crop Insurance
301,Punjab,Large,High,Rice,Yes,Black,Small,Yes,High,Medium,Subsidy Scheme
302,MH,Large,High,Soybean,No,Black,Large,No,Medium,Low,Crop Insurance
303,UP,Medium,Medium,Wheat,Yes,Loamy,Large,Yes,High,High,KCC
304,MP,Large,High,Rice,No,Sandy,Large,Yes,Low,High,PMFBY
305,MP,Small,High,Wheat,No,Loamy,Small,No,Medium,Low,PMFBY
306,MH,Large,Medium,Cotton,No,Sandy,Marginal,No,High,Medium,PMFBY
307,Bihar,Small,High,Rice,No,Sandy,Medium,Yes,Low,Low,PMFBY
308,MP,Small,Medium,Wheat,Yes,Black,Large,No,Medium,Low,Farm Mechanization
309,Punjab,Medium,Medium,Wheat,Yes,Black,Small,No,High,Low,PMFBY
310,MP,Large,High,Wheat,No,Black,Large,No,Low,Medium,PMFBY
311,Bihar,Small,Low,Maize,No,Sandy,Small,No,Low,High,Subsidy Scheme
312,UP,Small,Low,Cotton,Yes,Black,Medium,No,Low,Medium,PM-Kisan
313,Bihar,Large,Low,Maize,Yes,Clay,Marginal,Yes,Medium,High,KCC
314,UP,Small,Medium,Rice,No,Loamy,Medium,No,High,Medium,PMFBY
315,MP,Medium,Medium,Cotton,No,Sandy,Large,No,High,Low,PMFBY
316,UP,Large,High,Soybean,No,Black,Medium,Yes,High,Medium,PMFBY
317,Bihar,Small,High,Rice,Yes,Black,Medium,No,Low,Medium,Farm Mechanization
318,MP,Small,High,Rice,No,Black,Marginal,Yes,High,Medium,PMFBY
319,Punjab,Large,High,Cotton,Yes,Sandy,Small,No,Low,Medium,Soil Health Card
